"","pid","treat","treat_drop","age_pre","migration_pre","language_pre","gender_pre","wv_cor_t_pre","wv_speed_t_pre","wv_sum_done_pre","wv_sum_score_pre","sv_cor_t_pre","sv_speed_t_pre","sv_sum_done_pre","sv_sum_score_pre","tv_cor_t_pre","tv_speed_t_pre","tv_sum_done_pre","tv_sum_score_pre","elfe_pre","ges_invalid_pre","age_post","migration_post","language_post","gender_post","wv_cor_t_post","wv_speed_t_post","wv_sum_done_post","wv_sum_score_post","sv_cor_t_post","sv_speed_t_post","sv_sum_done_post","sv_sum_score_post","tv_cor_t_post","tv_speed_t_post","tv_sum_done_post","tv_sum_score_post","elfe_post","ges_invalid_post","klassenstufe"
"1","a101",0,0,8,1,1,2,49,48,38,38,59,58,22,22,46,52,15,8,51,0,8,1,1,2,60,59,57,57,58,57,26,26,46,59,22,11,55,0,3
"2","a102",1,1,8,1,1,2,37,36,25,24,31,29,5,5,33,25,4,3,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"3","a103",0,0,8,1,1,2,55,54,44,44,59,58,22,22,48,55,17,9,54,0,9,1,1,2,52,51,48,48,60,59,27,27,42,52,18,9,51,0,3
"4","a104",0,0,8,3,3,2,42,41,30,30,48,46,15,15,41,44,10,6,43,0,9,3,2,2,46,45,41,41,48,47,20,20,42,50,17,9,45,0,3
"5","a105",1,0,8,3,2,2,40,41,30,28,35,34,8,7,33,35,6,3,34,0,9,3,2,2,44,45,41,39,34,34,11,10,32,38,10,4,35,0,3
"6","a106",0,0,8,1,1,2,45,44,33,33,45,43,13,13,41,44,10,6,43,0,8,1,1,2,50,50,46,46,48,47,20,20,40,47,15,8,45,0,3
"7","a107",0,0,8,1,1,1,49,48,38,38,54,53,19,19,43,47,12,7,48,0,9,1,1,1,54,54,51,51,53,52,23,23,40,52,18,8,49,0,3
"8","a108",1,0,8,3,2,1,41,41,30,29,41,39,11,11,39,42,9,5,39,0,9,3,2,1,42,41,36,36,39,38,14,14,29,38,10,3,35,0,3
"9","a109",0,0,8,2,1,1,55,55,45,45,56,54,20,20,43,47,12,7,51,0,9,1,1,1,53,52,49,49,58,57,26,26,40,45,14,8,50,0,3
"10","a110",0,0,8,1,1,2,53,52,42,42,59,58,22,22,48,57,18,9,54,0,9,1,1,2,48,48,44,44,60,59,27,27,46,59,22,11,51,0,3
"11","a111",0,0,8,1,1,2,53,52,42,42,56,58,22,20,43,51,14,7,51,0,9,1,1,2,62,62,60,60,58,57,26,26,46,57,21,11,56,0,3
"12","a112",0,0,8,3,3,1,47,47,36,35,54,53,19,19,41,47,12,6,47,0,9,3,3,1,53,52,49,49,47,45,19,19,40,50,17,8,46,0,3
"13","a113",0,1,8,3,2,1,46,47,36,34,58,56,21,21,41,52,15,6,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"14","a114",0,0,8,3,2,1,49,49,39,38,54,53,19,19,41,42,9,6,48,0,8,3,2,1,51,51,48,47,53,52,23,23,40,52,18,8,48,0,3
"15","a115",0,1,9,2,2,2,56,56,47,46,43,43,13,12,33,38,7,3,43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"16","a116",0,0,8,2,1,1,52,51,41,41,54,54,20,19,41,49,13,6,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"17","a117",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,2,1,47,46,42,42,44,45,19,17,40,42,12,8,43,0,3
"18","a201",1,0,8,3,1,1,47,47,36,35,40,38,10,10,43,42,9,7,42,0,9,3,2,1,49,51,48,45,48,47,20,20,38,47,15,7,44,0,3
"19","a202",1,0,9,3,2,1,37,35,24,24,36,34,8,8,36,35,6,4,35,0,9,3,2,1,42,43,38,36,42,41,16,16,42,45,14,9,41,0,3
"20","a203",0,0,9,2,2,2,50,52,42,39,46,48,16,14,46,52,15,8,47,0,10,2,2,2,50,51,48,46,45,45,19,18,25,25,0,0,39,1,3
"21","a204",0,0,8,2,2,1,53,52,42,42,51,51,18,17,39,40,8,5,47,0,9,2,2,1,57,56,54,54,53,52,23,23,40,52,18,8,50,0,3
"22","a205",0,0,8,1,1,2,42,43,32,30,40,39,11,10,39,42,9,5,39,0,9,1,2,2,50,50,47,46,44,44,18,17,42,49,16,9,45,0,3
"23","a206",0,0,8,2,2,4,54,53,43,43,49,48,16,16,43,51,14,7,48,0,9,2,2,2,55,55,52,52,52,50,22,22,42,50,17,9,50,0,3
"24","a207",0,0,9,1,1,2,52,53,43,41,49,50,17,16,43,49,13,7,48,0,9,1,1,2,60,62,60,58,66,64,30,30,44,59,22,10,57,0,3
"25","a208",0,0,8,3,2,2,57,57,48,47,51,51,18,17,46,49,13,8,51,0,9,3,2,2,58,57,55,55,42,44,18,16,42,52,18,9,47,0,3
"26","a209",0,0,8,3,2,1,56,56,46,46,58,56,21,21,48,55,17,9,54,0,9,3,1,1,52,51,48,48,60,59,27,27,46,59,22,11,53,0,3
"27","a210",0,0,9,3,2,1,58,57,48,48,59,58,22,22,41,51,14,6,53,0,9,3,2,1,63,64,63,61,64,64,30,29,50,63,24,13,60,0,3
"28","a211",0,0,8,1,1,2,51,51,41,40,59,59,23,22,46,54,16,8,52,0,9,1,1,2,56,56,53,53,57,57,26,25,36,42,12,6,50,0,3
"29","a212",0,0,9,3,2,1,52,52,42,41,46,46,15,14,43,46,11,7,47,0,10,3,2,1,50,50,46,46,57,55,25,25,46,52,18,11,51,0,3
"30","a213",0,0,8,3,2,1,52,52,42,41,49,48,16,16,41,46,11,6,47,0,9,3,2,4,52,51,48,48,48,47,20,20,40,47,15,8,46,0,3
"31","a214",1,0,8,3,2,2,48,47,36,36,49,48,16,16,43,47,12,7,46,0,8,3,2,2,43,42,37,37,55,54,24,24,42,52,18,9,46,0,3
"32","a215",1,0,10,2,3,1,59,60,51,49,61,59,23,23,46,57,18,8,56,0,10,3,3,1,59,59,57,56,60,61,28,27,46,61,23,11,56,0,3
"33","a216",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,2,1,45,44,40,40,45,45,19,18,44,50,17,10,44,0,3
"34","b101",0,0,8,1,1,1,44,43,32,32,41,39,11,11,36,38,7,4,39,0,9,1,1,4,42,41,36,36,39,38,14,14,34,33,8,5,37,0,3
"35","b102",0,1,8,1,1,2,56,57,48,46,56,54,20,20,41,44,10,6,51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"36","b103",0,0,8,1,1,2,35,34,22,22,36,36,9,8,39,38,7,5,35,0,9,1,1,2,37,36,30,30,38,36,13,13,38,42,12,7,36,0,3
"37","b104",0,0,8,1,1,2,50,50,40,39,48,46,15,15,41,44,10,6,46,0,9,1,1,2,51,52,49,47,55,57,26,24,34,59,22,5,46,0,3
"38","b105",0,0,8,1,1,2,61,61,52,52,58,56,21,21,46,52,15,8,56,0,9,1,1,2,56,56,53,53,57,55,25,25,46,59,22,11,53,0,3
"39","b106",1,0,8,1,1,2,42,45,34,30,33,34,8,6,39,40,8,5,36,0,9,1,1,2,45,49,45,40,42,42,17,16,38,49,16,7,41,0,3
"40","b107",0,0,8,1,2,1,49,48,38,38,54,53,19,19,41,49,13,6,48,0,9,1,2,1,50,50,46,46,58,57,26,26,44,52,18,10,51,0,3
"41","b108",1,0,8,3,1,2,37,35,24,24,35,33,7,7,33,25,4,3,33,0,9,2,1,2,42,41,36,36,39,38,14,14,26,33,8,2,34,0,3
"42","b109",0,0,8,1,1,2,48,47,36,36,48,46,15,15,43,51,14,7,46,0,8,1,1,2,43,43,38,38,45,45,19,18,36,38,10,6,40,0,3
"43","b110",1,0,8,1,1,2,43,43,32,31,48,46,15,15,43,47,12,7,44,0,9,1,1,2,40,41,36,34,48,47,20,20,44,50,17,10,43,0,3
"44","b111",0,0,8,1,1,2,39,38,27,26,41,39,11,11,39,46,11,5,38,0,9,1,1,2,38,38,33,32,36,36,13,12,36,42,12,6,35,0,3
"45","b112",1,1,9,1,1,2,48,48,37,36,35,34,8,7,41,54,16,6,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"46","b113",0,0,8,1,1,2,44,43,32,32,48,46,15,15,41,40,8,6,44,0,9,2,1,2,48,49,45,43,45,44,18,18,34,40,11,5,41,0,3
"47","b114",0,0,8,1,1,1,31,29,18,18,41,39,11,11,39,42,9,5,35,0,8,1,1,1,40,40,35,34,45,44,18,18,42,45,14,9,41,0,3
"48","b115",0,0,8,1,1,2,51,51,41,40,43,41,12,12,39,42,9,5,44,0,9,1,1,2,54,53,50,50,44,42,17,17,25,25,0,0,40,1,3
"49","b116",0,0,8,1,2,2,37,35,24,24,46,45,14,14,41,46,11,6,40,0,9,1,1,2,45,44,40,40,47,45,19,19,40,47,15,8,43,0,3
"50","b201",1,0,8,2,NA,NA,29,31,19,16,31,31,6,5,39,38,7,5,31,0,8,2,1,NA,43,43,38,37,41,39,15,15,34,38,10,5,38,0,3
"51","b202",0,0,8,1,1,2,31,34,23,18,38,39,11,9,41,62,21,6,35,0,8,3,1,2,53,55,52,49,44,50,22,17,36,57,21,6,44,0,3
"52","b203",0,0,8,3,1,2,37,36,25,24,46,45,14,14,48,52,15,9,43,0,9,3,2,2,45,44,40,40,55,54,24,24,44,54,19,10,48,0,3
"53","b204",0,0,8,1,1,1,38,37,26,25,46,46,15,14,39,47,12,5,40,0,9,1,1,1,50,50,47,46,47,47,20,19,40,47,15,8,45,0,3
"54","b205",0,0,8,1,2,1,36,35,24,23,54,53,19,19,41,51,14,6,43,0,9,1,1,1,55,56,53,52,57,55,25,25,44,50,17,10,52,0,3
"55","b206",0,0,8,1,1,1,42,43,32,30,56,54,20,20,48,55,17,9,48,0,9,1,1,1,58,59,57,55,58,57,26,26,42,52,18,9,53,0,3
"56","b207",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,2,1,50,51,48,46,48,50,22,20,42,49,16,9,46,0,3
"57","b208",1,0,9,3,3,1,25,25,9,8,26,25,2,2,25,25,1,1,25,0,10,3,3,1,31,30,24,24,31,31,9,8,36,31,7,6,30,0,3
"58","b209",0,0,8,1,1,1,32,32,20,19,48,46,15,15,46,52,15,8,41,0,9,2,1,3,50,51,48,46,47,47,20,19,42,52,18,9,46,0,3
"59","b210",1,0,8,1,1,1,29,32,20,16,30,31,6,4,33,47,12,3,28,0,NA,NA,NA,NA,36,36,30,29,38,38,14,13,36,42,12,6,35,0,3
"60","b211",0,0,8,1,1,1,41,42,31,29,61,59,23,23,46,51,14,8,49,0,8,1,1,1,52,51,48,48,55,54,24,24,44,52,18,10,50,0,3
"61","b212",0,0,8,3,2,1,43,43,32,31,54,54,20,19,43,49,13,7,46,0,9,3,2,1,60,60,58,57,55,55,25,24,44,52,18,10,53,0,3
"62","c101",0,0,8,2,2,1,53,52,42,42,59,58,22,22,41,47,12,6,51,0,9,2,2,1,52,53,50,48,58,59,27,26,42,50,17,9,51,0,3
"63","c102",0,0,9,3,3,1,45,47,36,33,41,43,13,11,39,66,24,5,41,0,9,3,3,1,48,50,47,44,44,44,18,17,25,25,0,0,38,1,3
"64","c103",0,0,8,1,1,1,54,53,43,43,54,56,21,19,50,54,16,10,53,0,8,1,1,1,52,51,48,48,50,49,21,21,44,55,20,10,48,0,3
"65","c104",0,0,8,1,1,1,58,58,49,48,54,53,19,19,46,54,16,8,53,0,9,1,1,1,54,54,51,51,55,55,25,24,42,52,18,9,50,0,3
"66","c105",0,0,8,1,1,1,57,56,47,47,53,51,18,18,46,51,14,8,52,0,9,1,1,1,50,50,46,46,47,45,19,19,40,47,15,8,45,0,3
"67","c106",1,0,8,2,2,1,31,32,20,18,31,34,8,5,39,49,13,5,32,0,9,3,3,1,40,43,38,34,36,41,16,12,25,25,0,0,32,1,3
"68","c107",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,1,1,51,50,47,47,53,52,23,23,38,59,22,7,47,0,3
"69","c108",0,0,8,3,2,1,40,41,30,28,38,38,10,9,39,38,7,5,38,0,9,3,2,1,48,49,45,44,45,44,18,18,36,40,11,6,42,0,3
"70","c109",0,0,8,3,2,1,42,41,30,30,51,50,17,17,41,46,11,6,44,0,9,3,2,1,54,54,51,51,50,49,21,21,36,45,14,6,46,0,3
"71","c110",1,0,8,1,1,1,38,39,28,25,33,31,6,6,33,32,5,3,33,0,9,1,1,1,46,46,42,41,41,39,15,15,40,42,12,8,41,0,3
"72","c111",0,0,9,3,2,1,58,57,48,48,56,56,21,20,46,51,14,8,54,0,10,3,3,1,58,57,55,55,55,54,24,24,44,55,20,10,53,0,3
"73","c112",0,1,8,3,2,2,40,38,27,27,41,39,11,11,39,40,8,5,39,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"74","c113",0,0,NA,1,1,2,53,52,42,42,56,54,20,20,46,51,14,8,52,0,9,1,1,2,48,48,44,44,62,61,28,28,46,57,21,11,52,0,3
"75","c114",0,0,8,1,1,2,53,52,42,42,46,45,14,14,43,49,13,7,47,0,9,1,1,2,51,50,47,47,53,52,23,23,42,49,16,9,48,0,3
"76","c115",0,0,8,3,2,2,57,56,47,47,53,51,18,18,39,42,9,5,50,0,9,3,2,2,61,61,59,59,47,45,19,19,42,47,15,9,50,0,3
"77","c116",0,0,8,1,1,2,44,43,32,32,48,46,15,15,46,54,16,8,45,0,8,1,1,2,49,49,45,45,58,57,26,26,42,52,18,9,50,0,3
"78","c117",0,0,9,1,1,2,44,43,32,32,38,38,10,9,39,38,7,5,39,0,9,1,1,NA,41,41,36,35,35,34,11,11,34,38,10,5,35,0,3
"79","c118",0,0,NA,1,1,2,52,51,41,41,46,45,14,14,43,47,12,7,47,0,9,1,1,2,57,57,55,54,48,49,21,20,40,52,18,8,48,0,3
"80","c119",1,1,8,1,1,2,40,38,27,27,31,34,8,5,33,44,10,3,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
